title|url|profession|level
Почему CJM – это дорого и долго?|	https://hardclient.com/why-cjm-is-expensive-and-time-consuming|Дизайнер UI|Midle
Customer Journey Map в Miro|	https://hardclient.com/customer-journey-map-in-miro|2
Работа с поисковой строкой в интернет-магазинах: 179 гайдлайнов|	https://hardclient.com/ecommerce-search-bar|2
Авторизация по номеру телефона в интернет-магазине: 130 гайдлайнов|	https://hardclient.com/ecommerce-authorization-by-phone|2
Практики Retention|	https://hardclient.com/retention|2
Проектируем строку поиска в приложении: 188 гайдлайнов|	https://hardclient.com/ecommerce-mobile-search-bar|2
Как спроектировать хороший таббар?|	https://hardclient.com/app-tabbar|2
Когнитивные искажения в e-Commerce. Часть 2|	https://hardclient.com/ecommerce-cognitive-biases-part-2|2
Анимация в интерфейсах: 12 принципов UX-анимации (UX in Motion)|	https://ux-journal.ru/animatsiya-v-interfejsah-12-printsipov-ux-animatsii.html|2
Как конвертировать интерфейс iOS в Android|	https://ux.pub/kak-konvertirovat-interfejs-ios-v-android/|2
«Закон Фиттса»|	https://bureau.ru/bb/soviet/20160517/|2
Защита решений|	https://vsevolodustinov.ru/blog/all/zaschita-resheniy/|2
Джедайская техника пустого инбокса или как доводить дела до конца|	https://sergeysichkar.ru/jedi-indox/|2
Менеджер и его время, или Кому достанется обезьяна Уильям Онкен-младший , Дональд Уосс 17 мая 2022|	https://big-i.ru/karera/upravlenie-vremenem/a10080/|2
Шаблоны на GraphicRiver.net|	https://guides.area17.com/design-techniques/|2
«Процессы» у Лебедева|	https://www.artlebedev.ru/everything/|2
«Советы» Бюро Горбунова|	https://bureau.ru/soviet/|2
«Гайдлайн AREA 17 для тех, кто создает дизайн с умом»|	https://guides.area17.com/design-techniques/|2
Как не облажаться с дизайномПятиминутный гид для недизайнеров|	https://tilda.education/articles-guide-for-non-designer|2
О чём должен помнить веб-дизайнер|	https://github.com/nicothin/web-design|2
Юрий Ветров об интерфейсах|	https://jvetrau.com/|2
Что почитать о продуктовом дизайне|	https://education.yandex.ru/journal/chto-pochitat-o-dizaine|2
